article_title,article_paragraph
Chief of General Staff of Armenian Armed Forces visits military units,"YEREVAN, APRIL 22, ARMENPRESS. Chief of General Staff of the Armenian Armed Forces, Lieutenant-General Artak Davtyan visited today military units located in the north-eastern direction to get acquainted with the organization of the daily service and the ongoing renovations works, the defense ministry of Armenia told Armenpress.Lieutenant-General Artak Davtyan also visited the military bases, got introduced on the situation in the border, the combat preparedness level of the staff, as well as the engineering works carried out in the frontline.He gave respective instructions to the commanders of the divisions on raising the efficiency of the military service and promoted the distinguished servicemen.Edited and translated by Aneta Harutyunyan"
Russian mobile lab deployed in Armenian military has capacity of 100 PCR tests in one day,"YEREVAN, APRIL 8, ARMENPRESS. The mobile lab which the Russian military deployed to Armenia on April 7 has the capacity to conduct 100 polymerase chain reaction (PCR) tests of the coronavirus in one day, Armenian Defense Ministry spokesperson Shushan Stepanyan said on social media.The complex is made up from the lab itself, a sample-taking and disinfecting system.The system has been deployed in the Armenian military and it will be used in all military bases.Russian epidemiological specialists have also arrived to cooperate with Armenian colleagues in detecting and preventing the coronavirus in Armenian military bases, as well as the 102nd Russian military base in Gyumri.Edited and translated by Stepan Kocharyan"
1 out of 58 new confirmed coronavirus cases in Armenia reported in Armed Forces,"YEREVAN, MARCH 30, ARMENPRESS. 1 out of the 58 new confirmed cases of the novel coronavirus in Armenia has been registered in the Armed Forces, Healthcare Minister Arsen Torosyan said at the Cabinet meeting.Prime Minister Nikol Pashinyan asked whether the cases in the Army are included in today’s number of infected people, the minister responded: “Yes, one case”.Earlier 5 soldiers of the Armenian Army tested positive for coronavirus (COVID-19). Currently, the total number of servicemen infected with COVID-19 is 6.None of the servicemen has pneumonia and coronavirus symptoms. Only one soldier has mild fever.Defense ministry’s spokesperson Shushan Stepanyan informed that the new soldier, who tested positive for coronavirus, has been quarantined from the very start.The 6 confirmed cases are connected with the first case that was confirmed in a non-combat military base.The soldier is hospitalized and is in satisfactory condition.No new soldiers have been quarantined.Many quarantined Armenia servicemen return to active duty after testing negative for COVID1958 more cases of novel coronavirus were confirmed in Armenia today, bring the total number of infected people to 482.30 patients have recovered.So far, 3 death cases have been reported.Edited and translated by Aneta Harutyunyan"
Many quarantined Armenia servicemen return to active duty after testing negative for COVID19,"YEREVAN, MARCH 30, ARMENPRESS. “Dozens” of quarantined or self-quarantined servicemen are returning to active duty, Minister of Defense Davit Tonoyan said at the Cabinet meeting referring to the direct contacts of the 5 confirmed coronavirus cases in the military.He said the military doesn’t have problems associated with the coronavirus.Speaking about the five hospitalized soldiers, Tonoyan said they are all asymptomatic while only one has mild fever.Edited and translated by Stepan Kocharyan"
Armenia soldier wounded by Azerbaijani shooting,"YEREVAN, MARCH 27, ARMENPRESS. Soldier of the Armenian Armed Forces has been wounded by the Azerbaijani shooting in a military position located in the north-eastern direction of the Republic on March 27, Defense ministry’s spokesperson Shushan Stepanyan told Armenpress.Mrs. Stepanyan said the soldier was slightly injured and is in good condition.“The adversary stopped firing shots after the countermeasures taken by the Armenian side. At the moment the situation is calm”, she said.Edited and translated by Aneta Harutyunyan"
Armenian pilots carry out training flights with SU-30SM aircrafts,"YEREVAN, MARCH 20, ARMENPRESS. The pilots of the Armed Forces of Armenia carried out training flights with newly aquired SU-30SM aircrafts, press secretary of the Ministry of Defense of Armenia Shushan Stepanyan informed.PM Pashinyan posted the footage of the flights, writing ''Our Su-30SM military aircrafts watch our air air space’’.Video PlayerEdited and translated by Tigran Sirekanyan"
"Armenian military launches disinfecting, screening measures to stay coronavirus-free","YEREVAN, MARCH 20, ARMENPRESS. Measures are being carried out in the military aimed at preventing the spread of the novel coronavirus into the Armed Forces, the Defense Ministry said.Disinfection measures are carried out in all military bases.Troops are being screened and checked by medics before being deployed to combat duty. The soldiers are also provided with disinfecting means.Military equipment and weaponry are also being disinfected.So far no cases of the virus were detected in the military.Edited and translated by Stepan Kocharyan"
Armenian soldier killed by Azerbaijani fire,"YEREVAN, MARCH 10, ARMENPRESS. Contractual soldier Zohrab Sianosyan, 1984, was killed by Azerbaijani fire on March 10 at about 15:30 in the south-western section of the border.As ARMENPRESS was informed from the press service of the Defense Ministry of Armenia, investigation into circumstances is underway.The Defense Ministry of Armenia offers sincere condolences to the family, friends and co-servicemen of the killed soldier.Edited and translated by Tigran Sirekanyan"
Chief of General Staff of Armenian Armed Forces visits southeastern border,"YEREVAN, MARCH 10, ARMENPRESS. Chief of General Staff of the Armenian Armed Forces, Lieutenant-General Artak Davtyan visited on March 9 the military units located in the southeastern section of the border, the defense ministry told Armenpress.The Chief of the General Staff got acquainted with the process of conducting a new complex fire-fighting exercise and gave respective tasks.Artak Davtyan also visited military positions to get acquainted with the situation in the border, as well as the engineering activities in the frontline.Edited and translated by Aneta Harutyunyan"
Defense ministry discusses draft decision on re-launching Central Sport Club of the Army,"YEREVAN, MARCH 9, ARMENPRESS. Discussions were held in Armenia’s defense ministry on March 6 relating to the government’s draft decision on re-launching the Central Sport Club of the Army, the defense ministry told Armenpress.The discussions were chaired by deputy defense minister Gabriel Balayan and were attended by MPs, as well as representatives of concerned agencies and various sports federations.The meeting participants touched upon the status and activity of the Central Sport Club of the Army, as well as issues relating to the selection of athlete soldiers.Edited and translated by Aneta Harutyunyan"
Armenia military thwarts Azerbaijani subversive incursion attempt,"YEREVAN, MARCH 6, ARMENPRESS. Azerbaijani troops attempted at 05:30, March 6 a subversive incursion in the direction of an Armenian military base located in Armenia’s north-east.The Armenian military thwarted the attack and the Azerbaijani sabotage team suffered losses and left behind ammunition and a landmine detecting device, the Ministry of Defense of Armenia said.“The Armenian side doesn’t have losses, one serviceman sustained light injuries as a result of the actions, the circumstances of the incident are being clarified,” the Armenian military said.“An analysis of the actions shows that for the given subversive incursion, which was implemented by respectively trained personnel, the adversary has carried out serious preparatory work"" , the Armenian Defense Ministry said.Edited and translated by Stepan Kocharyan"
