article_title,article_paragraph
Russian FM comments on possibility of reducing gas price for Armenia and Belarus,"YEREVAN, APRIL 21, ARMENPRESS. Russian foreign minister Sergey Lavrov announced that even in such a drop in energy prices, the commitments set by contracts remain in force, including for Armenia and Belarus. The FM said when these agreements were signed, the prices for energy resources have been lower than the market price, RIA Novosti reports.“I think that of course allies should be provided with economic advantages, but when the price has reached where it is now, it is necessary to take into account that there are concrete commitments by contracts”, the FM said, asked why Russia is not reducing the gas price for the countries of the Eurasian Economic Union, in case when it did that for some other countries which are not a member of the Union.Lavrov said earlier Moscow has received proposals on reducing the gas price.“I am confident that while observing the applications, and recently applications were received from our Belarussian and Armenian partners, our allied relations, of course, are under attention”, the FM said.Edited and translated by Aneta Harutyunyan"
"EU to provide over 456,000 USD assistance to mitigate negative impact of coronavirus on agriculture","YEREVAN, APRIL 17, ARMENPRESS. The European Union will provide 456,500 EUR assistance to Armenia to mitigate the negative impact of the coronavirus crisis in the agricultural sector.It will be allocated from the budget of the EU Green Agriculture Initiative (EU-GAIA) in Armenia project, funded by the European Union and co-funded by Austrian Development Cooperation, ARMENPRESS was informed from the EU Green Agriculyure Initiative.This was announced at the meeting of the first Advisory Board of the EU-GAIA project, during which the plan of immediate measures to support farmers and producers at the outbreak of COVID19 was approved.The list of specific activities offered by the project includes provision of two-wheeled tractors and seedlings, capacity building of government staff, provision of inputs, small agricultural equipment and tools, support to the post-harvest facilities, publishing booklets about existing programs of the Ministry of Economy, awareness of the safety rules of the virus during production, technical assistance (consulting with the help of remote professionals and the development of business models) to agriproducers – potential recipients of Government’s financial support with special focus on vulnerable groups.According to the RA Deputy Minister of Economy Arman Khojoyan, the proposed actions are in line with the goals of the Sustainable Agriculture Development Strategy of the Government in a crisis situation; that is, to make Armenia's agriculture more efficient and resilient in the context of green economy development.The presented short-term and medium-term measures will be financed within the framework of the EU-GAIA project current intervention logic and budget. The measures are aimed especially at the most socio-economically vulnerable groups in the current situation in the target regions of the project. The events were proposed and will be implemented by the Austrian Development Agency and the United Nations Development Programme in Armenia.The meeting of the EU-GAIA Advisory Board was chaired by Gonzalo Serrano De La Rosa, Head of the EU Delegation Cooperation Section, and Andrea Baggioli, International Aid / Cooperation Officer of the EU Delegation in Armenia. The meeting was attended by the RA Deputy Minister of Economy Arman Khojoyan, the RA Deputy Minister of Environment Vardan Melikyan, Governor of Tavush Hayk Chobanyan, Governor of Shirak Tigran Petrosyan, Head of the Department of Agriculture and Nature Protection of Lori Marzpetaran Artyom Shahverdyan, Head of the Austrian Development Cooperation’s office in Yerevan Gerhard Schaumberger, Resident Representative of the United Nations Development Programme in Armenia Dmitry Mariyasin, Project Manager Pascal Bokkers, UNDP Project Coordinator Karen Harutyunyan and other representatives.To summarise the results of the Advisory Board meeting, Andrea Baggioli recalled how the EU-GAIA intervention also considers climate change mitigation and adaptation measures: introduction of climate resilient seeds, sustainable management of natural resources and protection of biodiversity, promotion of resource-efficient (energy-efficient) technologies and renewable energy. To this respect, the Deputy Minister Melikyan’s proposal could well fit into a comprehensive assistance to mitigate the negative impact of the COVID-19 crisis in the agricultural and environment sector in Armenia: to launch the discussion on using large-scale tree planting in riparian zones and windbreaks, as a means of immediate socio-economic assistance to vulnerable groups; and to create synergies between the agricultural interventions and the water treatment plan in Sevan Lake region.EU Green Agriculture Initiative in Armenia is funded by the European Union (€ 9,7 million) and co-funded by the Austrian Development Cooperation (€ 2 million). The project is implemented by the Austrian Development Agency and UNDP Armenia. The Government counterpart of the project is the RA Ministry of Economy. EU-GAIA project will support the development of sustainable, inclusive, innovative and market-based agribusiness particularly in the northern Marzes of Armenia – Shirak, Lori and Tavush. The project will be implemented over the course of three years.The Member States of the European Union have decided to link together their know-how, resources and destinies. Together, they have built a zone of stability, democracy and sustainable development whilst maintaining cultural diversity, tolerance and individual freedoms. The European Union is committed to sharing its achievements and its values with countries and peoples beyond its borders."
Russian side not responded yet to Armenia’s proposal to start talks on reducing gas price,"YEREVAN, APRIL 9, ARMENPRESS. The Russian side has not yet responded to the proposal of Armenia’s deputy prime minister Mher Grigoryan to start talks on reducing the price of gas on the border, Deputy PM Grigoryan said today at a press conference.“There is no response yet. I think there is also a problem with working days and weekend, and the Russian side will give a response a bit later”, Grigoryan said.On March 31, on behalf of the Armenian government, Deputy Prime Minister Mher Grigoryan sent a letter to Deputy Chairman of the Board of Directors, Chairman of the Management Committee at Gazprom PJSC Alexey Miller requesting to launch talks on the change of price of gas supplied to Armenia.Edited and translated by Aneta Harutyunyan"
"Armenia’s military industry operates at full-swing, says High Tech Minister","YEREVAN, APRIL 8, ARMENPRESS. The military-industrial complex of Armenia is operating at full-swing, Minister of High Tech Industry Hakob Arshakyan said at a news conference.He said they have numerous contracts signed with the Defense Ministry and military experts will also be involved in the industrial process.“The military-industrial complex is operating at full swing with its entire capacity,” he said, adding that the sector’s operations are among the exceptions of allowed activities amid the COVID-19 shutdown.Arshakyan said the defense industry has entered an active stage of operations.Edited and translated by Stepan Kocharyan"
"Armenia enabled to import food products, medicine without customs duty from non-EEU countries","YEREVAN, APRIL 7, ARMENPRESS. All Eurasian Economic Union countries, including Armenia, have been enabled to import a number of top priority products from non-EEU countries without customs duties, Deputy Minister of Economy Varos Simonyan told ARMENPRESS.He described the measure as an opportunity of new markets for Armenian businesses, as well as an additional way to restrain potential price hikes.The decision was made on April 3 by the Eurasian Economic Commission’s Council.Simonyan said the decision covers products of “critical import” significance, such as buckwheat, rye, potato, onion, garlic, cabbage, carrot, pepper, baby food, medication. The decision will also cover some medical equipment, such as endoscopes or special thermometers.Simonyan reminded an earlier decision by the EEU’s governing board on imposing a ban on exports of a number of priority products to non-member countries. For example, buckwheat can’t be exported to non-member states, but it can be imported on zero customs duty. Simonyan said this move is done to maintain balance to avoid a possible shortage within the union.The food products are exempt from customs duties for three months starting April 1, while medical equipment for 6 months.Edited and translated by Stepan Kocharyan"
Armenian minister sure despite crisis economic activity will be restored quickly,"YEREVAN, APRIL 3, ARMENPRESS. Decline in economic output in Armenia will be greater compared to the forecasts at the beginning of the year, Minister of Economy Tigran Khachatryan said at a press conference, however, expressing confidence that the economy will be able to restore its potential quickly.Commenting on the forecasts by the Central Bank according to which the novel coronavirus (COVID-19) will have a negative impact on the economic growth rates, the minister shared this assessment, but noted: “The peculiarity of the CBA’s forecast is that it is an assessment of a concrete situation, in other words an assessment made as of this moment. We think that this year the decline in economic output will be greater compared to the forecasts made in the beginning of the year. At the beginning of the year these outcomes were quite optimistic and the figures of the first two months were no worse than the very good indicators recorded in 2019. But this shows one thing that we can produce, can have such an economy that is growing with high rates. This crisis will pass. Despite the difficulties of 2020 we will quickly restore both the potential and the economic activity”, the minister said.In late December 2019, Chinese authorities notified the World Health Organization (WHO) about an outbreak of a previously unknown pneumonia in the city of Wuhan, central China. WHO declared the outbreak of the novel coronavirus a global pandemic and named the virus COVID-19.According to the latest data, number of people infected with coronavirus in Armenia has reached 736. 43 patients have recovered, 7 died. At the moment, the active cases are 686.On March 16 Armenia declared a 30-day state of emergency to battle the spread of COVID-19. The state of emergency is effective until April 14, 17:00.Edited and translated by Aneta Harutyunyan"
Armenia discusses various assistance opportunities for microenterprises,"YEREVAN, APRIL 1, ARMENPRESS. Armenia is discussing options for assisting microenterprises within the frames of the measures aimed at eliminating the economic consequences of the novel coronavirus, Deputy Minister of Economy Naira Margaryan said in response to ARMENPRESS question.“The 8th measure approved by the government is envisaged for hotel and guesthouse services, public food, tourism, hairdressing salons, beauty salons and retail services. There is a restriction for the retail as stores selling food, tobacco, medicines or alcohol cannot take part in it. The 8th measure is envisaged for micro-businesses. Unfortunately, the 3rd measure currently has a restriction, and only businesses that had 24 million and more turnover can apply. But we are discussing now various measures also for microenterprises based on all inquiries and applications received”, Margaryan said.The 3rd measure is directed for assisting small and medium enterprises. Those SMEs operating in tourism, healthcare, housing, public food, processing industry, can apply.On March 16 Armenia declared a 30-day state of emergency to fight the spread of the novel coronavirus (COVID-19). The state of emergency is effective until April 14. Currently there are restrictions on certain types of movement and economic activities.Edited and translated by Aneta Harutyunyan"
Sadakhlo checkpoint at Armenia-Georgia border to be open for trucks,"YEREVAN, MARCH 23, ARMENPRESS. The Sadakhlo checkpoint at the Armenian-Georgian border will be open only for trucks: the entry to Georgia was temporarily suspended by the Georgian side due to the large number of trucks and quarantine regime on the territory of that country, the Armenian Embassy in Georgia said.The Georgian side reported that the Sadakhlo border checkpoint will be open for trucks starting 21:00 today.Due to the quarantine regime in Marneuli the trucks will be disinfected near the city and will move on accompanied by the police.At the moment, due to the quarantine regime in Marneuli and Bolnisi over novel coronavirus, the movement of citizens to Sadakhlo checkpoint from the Georgian side is also closed (the restriction doesn’t apply to trucks).The Armenian Embassy in Georgia is taking actions to ensure the exit of Armenian citizens from Georgia.Edited and translated by Aneta Harutyunyan"
Armenian government develops multi-billion business aid packages,"YEREVAN, MARCH 19, ARMENPRESS. The Government of Armenia is preparing two 25-billion-dram business aid packages for social assistance and business support amid the coronavirus crisis.An additional 80-billion-dram fund will be developed aimed at re-organization of the economy and its positioning in accordance to the parameters of the post-crisis period, PM Nikol Pashinyan said at the Cabinet meeting.Deputy PM Mher Grigoryan said the existing situation in the market leads to irregular consumer conditions, and the country must have financing tools to enable businesses pass the crisis period without significant damages or losses.“Therefore we developed a number of potential loan products, namely 3 primary ones, which imply loan co-financing, loan re-financing and interest rate subsidization,” Grigoryan said on the 25 billion dram aid packages.He said the government will introduce the kind of loan types which will enable businesses to remain in an stand-by state for a certain period of time, i.e. to take care of all expenses, not have interest rate burden, not have currency risks, but maintain employees and solve current communal issues.He said this package will allow businesses to think about business development, and not about optimization.Edited and translated by Stepan Kocharyan"
Small productions of face masks start operating in Armenia,"YEREVAN, MARCH 13, ARMENPRESS. A very small local production of face masks has already started in Armenia, Chairman of the State Commission for the Protection of Economic Competition Gegham Gevorgyan told reporters today.“There are some price changes of face masks as they were purchased from various sources and at different prices. But the economic entities inform us that there is a tendency in the decline of prices. There is also an offer for sale from China. We also received new batch of masks. Very small local productions of face masks have already started in Armenia”, he said, adding that the price of face masks is nearly 200 drams.Gevorgyan assured that if there is a need to acquire face masks, the state will ensure that.Gegham Gevorgyan said by calculating the current numbers and demand, they see that the problem of face masks is not so serious. Commenting on the question that pharmacies sell masks to one person at limited amount, he said the economic entities have talked to them on this matter. “If they sell at unlimited amount, they may not be able to ensure the daily physical volume”, he said.Edited and translated by Aneta Harutyunyan"
